isc_id,genus,species,strain,target_name
,Neotrypaea,californiensis,
,Lepeophtheirus,salmonis,
,Cornu,aspersum,
,Potamopyrgus,antipodarium,
,Pomacea,canaliculata,
,Lissachatina,fulica,
,Euglandina,rosea,
,Dreissena,polymorpha,
,Dreissena,bugensis,
,Limnoperna,fortunei,
,Amaranthus,palmeri,
,Amaranthus,retroflexus,
,Chenopodium,album,
,,,
,Digitaria,sanguinalis,
,Poa,pratensis,
,Cynodon,dactylon,
,Echinochloa,crus-galli,
,Lolium,multiflora,
,Brassica,napus,
,Rhamphospermum,arvense,
,Amaranthus,tuberculatus,
,Pontederia,crassipes,
,Pistia,stratiotes L.,
,Portulaca,oleracea L.,
,Setaria,,
,Erigeron,canadensis,
,Ambrosia,trifida,
,Avena,fatua L.,
,Convolvulus,arvensis,
,Abutilon,theophrasti,
,Panicum,dichtomiflorum,
